neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,privacy,state,air_conditioning,heating,free_parking,gym,housekeeping,pool,pool_shared,pool_private,pool_indoor,pool_outdoor,hot_tub,hot_tub_shared,hot_tub_private,paid_parking,avg_price,med_price,dist_to_airport_km,dist_to_train_km,dist_to_park_km,dist_to_university_km,dist_to_bus_km,dist_to_city_center_km,median_income,median_gross_rent,population,median_home_value,education_bachelors,median_age,race_white,race_black,race_asian,race_other,median_year_built,total_housing_units,labor_force,unemployed,commute_time_mean,gini_index,percent_foreign_born,unemployment_rate,percent_owner_occupied,percent_public_transport,percent_work_from_home,vacancy_rate,poverty_rate,percent_over_65,price_pred,occ_pred,rev_pred,source_url
Sheridan Park,41.97,-87.66,Entire home/apt,5,2,3,3,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,23.12,0.72,0.24,4.50,99,10.1,"71,030.00","1,374.00","66,884.00","363,300.00","19,501",37.4,"38,489","12,078","6,838","3,031",1944,"40,850","44,777","2,386",506.9,0.493,22.40%,5.30%,31.30%,29.10%,27.30%,7.60%,18.70%,13.40%,856.00,47,"43,352.00",https://www.zillow.com/homedetails/1353-W-Wilson-Ave-APT-2-Chicago-IL-60640/70460121_zpid/
TBD!!!,41.91,-87.72,Entire home/apt,6,3,5,5,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,16.88,2.73,0.50,4.80,99,8.37,"52,963.00","1,186.00","63,892.00","262,700.00","3,899",34.8,"8,611","33,772",887,"11,045",1938,"22,885","29,853","3,488",394.3,0.491,15.10%,11.70%,45.80%,20.10%,7.60%,8.80%,25.20%,13.10%,749.00,46,"37,761.00",https://www.zillow.com/homedetails/1430-N-Avers-Ave-Chicago-IL-60651/3793345_zpid/
Bridgeport,41.84,-87.66,Entire home/apt,6,2,4,4,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,11.84,1.07,0.37,2.78,99,4.39,"70,704.00","1,208.00","81,459.00","341,500.00","12,339",34.6,"24,089","14,493","11,644","18,193",1938,"32,617","42,715","3,380",545.9,0.463,30.10%,7.90%,40.20%,20.50%,15.10%,7.80%,17.90%,11.30%,772.00,50,"40,490.00",https://www.zillow.com/homedetails/2701-S-Hillock-Ave-Chicago-IL-60608/3878205_zpid/
Lincoln Park,41.93,-87.66,Entire home/apt,2,1,1,1,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,21.59,1.14,0.37,0.50,99,6.11,"139,561.00","2,019.00","70,444.00","730,700.00","22,930",31.3,"56,623","2,406","5,339","1,695",1971,"38,089","47,061","1,690",524,0.542,13.10%,3.60%,45.10%,29.10%,29.90%,9.20%,8.30%,10.00%,"1,102.00",46,"69,127.00",https://www.zillow.com/homedetails/2510-N-Wayne-Ave-APT-112-Chicago-IL-60614/3729563_zpid/
Pilsen,41.85,-87.67,Entire home/apt,8,4,6,6,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,11.68,0.57,0.31,1.68,99,4.39,"70,704.00","1,208.00","81,459.00","341,500.00","12,339",34.6,"24,089","14,493","11,644","18,193",1938,"32,617","42,715","3,380",545.9,0.463,30.10%,7.90%,40.20%,20.50%,15.10%,7.80%,17.90%,11.30%,756.00,46,"30,776.00",https://www.zillow.com/homedetails/1817-W-21st-St-Chicago-IL-60608/458190400_zpid/
TBD!!!,41.84,-87.66,Entire home/apt,8,2,5,5,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,11.34,0.62,0.14,3.19,99,4.74,"70,704.00","1,208.00","81,459.00","341,500.00","12,339",34.6,"24,089","14,493","11,644","18,193",1938,"32,617","42,715","3,380",545.9,0.463,30.10%,7.90%,40.20%,20.50%,15.10%,7.80%,17.90%,11.30%,759.00,49,"34,368.00",https://www.zillow.com/homedetails/1404-W-Fuller-St-Chicago-IL-60608/3878167_zpid/
Downtown Loop,41.88,-87.63,Entire home/apt,4,2,2,2,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,17.76,0.17,0.22,0.81,99,0.7,"139,148.00","2,535.00","3,527.00","366,500.00","1,113",34.6,"2,065",105,"1,083",24,2003,"3,032","3,244",94,37.9,0.446,22.20%,2.90%,26.70%,10.00%,26.80%,13.00%,4.90%,4.40%,"1,388.00",33,"43,238.00",https://www.zillow.com/homedetails/208-W-Washington-St-APT-1010-Chicago-IL-60606/63701251_zpid/
River North,41.9,-87.63,Entire home/apt,2,1,0,1,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,19.34,0.36,0.32,0.41,99,1.91,"144,831.00","2,571.00","24,303.00","495,900.00","10,297",32.4,"17,609",808,"2,092","1,108",2003,"17,960","19,819",561,219,0.438,18.60%,2.80%,34.40%,8.70%,31.20%,11.20%,7.00%,7.40%,"1,420.00",35,"59,127.00",https://www.zillow.com/homedetails/70-W-Huron-St-APT-2210-Chicago-IL-60654/3862660_zpid/
TBD!!!,41.89,-87.63,Entire home/apt,2,1,0,1,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,18.71,0.32,0.09,0.54,99,1.1,"144,831.00","2,571.00","24,303.00","495,900.00","10,297",32.4,"17,609",808,"2,092","1,108",2003,"17,960","19,819",561,219,0.438,18.60%,2.80%,34.40%,8.70%,31.20%,11.20%,7.00%,7.40%,"1,377.00",35,"49,070.00",https://www.zillow.com/homedetails/300-N-State-St-APT-5225-Chicago-IL-60654/3863810_zpid/
TBD!!!,41.83,-87.66,Entire home/apt,5,1,3,3,entire,IL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,$578,169.00,11.08,1.32,0.18,2.92,99,5.41,"70,704.00","1,208.00","81,459.00","341,500.00","12,339",34.6,"24,089","14,493","11,644","18,193",1938,"32,617","42,715","3,380",545.9,0.463,30.10%,7.90%,40.20%,20.50%,15.10%,7.80%,17.90%,11.30%,770.00,49,"37,089.00",https://www.zillow.com/homedetails/3329-S-Racine-Ave-Chicago-IL-60608/441082062_zpid/